x,y,status,duration_sec
1.0,1.0,success,15.17
1.0,2.0,success,4.69
1.0,1.0,success,0.43
2.5,3.5,success,21.18
1.0,1.0,success,20.97
0.0,3.0,success,16.27
1.0,1.0,success,16.91
4.5,1.2,success,15.08
1.0,1.0,success,22.05
3.2,4.1,success,24.9
1.0,1.0,success,23.08
2.3,1.7,success,13.06
1.0,1.0,success,16.08
1.1,0.8,success,2.81
1.0,1.0,success,0.04
3.4,2.2,success,17.67
1.0,1.0,success,22.45
4.0,2.5,success,20.17
1.0,1.0,success,23.84
1.8,3.7,success,18.53
1.0,1.0,success,22.57
0.5,2.5,success,15.56
1.0,1.0,success,13.95
2.0,1.0,success,8.14
1.0,1.0,success,10.4
3.3,2.1,success,19.27
1.0,1.0,success,22.42
3.5,3.0,success,20.28
1.0,1.0,success,20.32
0.0,0.0,success,7.23
1.0,1.0,success,140.06
1.1,1.1,success,0.41
1.0,1.0,success,0.08
2.8,2.8,success,12.14
1.0,1.0,success,21.28
4.2,0.6,success,16.54
1.0,1.0,success,22.12
1.9,2.3,success,12.92
1.0,1.0,success,14.36
2.6,1.6,success,13.65
